what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1310027659206
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1310027659284
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.12.1.20110112-1712,"org.maven.ide.eclipse.maven_model_edit",1310027659300
started,bundle,org.maven.ide.eclipse,0.12.1.20110112-1712,"org.maven.ide.eclipse",1310027659862
started,bundle,org.maven.ide.eclipse.jdt,0.12.1.20110112-1712,"org.maven.ide.eclipse.jdt",1310027666378
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1310027667753
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310027671409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310027802237
started,bundle,com.android.ide.eclipse.ddms,10.0.0.v201102162101-104271,"com.android.ide.eclipse.ddms",1310027802894
started,bundle,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.adt",1310027803409
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1310027803628
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1310027803644
started,bundle,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor",1310027804831
started,bundle,org.maven.ide.eclipse.refactoring,0.12.1.20110112-1712,"org.maven.ide.eclipse.refactoring",1310027805237
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1310027805394
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1310027805644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310027808675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028207847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1310028207956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028208909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028243628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028272612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028331003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028345097
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1310028478362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028483441
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310028499534
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310028500378
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1310028503925
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310028506831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028512784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028546159
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310028546956
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310028547941
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310028553862
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028554237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028555847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1310028555909
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310028557081
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310028558362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028561784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310028603722
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310028604456
